danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.653,0.138,7,-18.36,1,0.408,0.819,0.0,0.897,0.621,77.718,audio_features,0d3xraDExoMnGEwNzxzNs0,spotify:track:0d3xraDExoMnGEwNzxzNs0,https://api.spotify.com/v1/tracks/0d3xraDExoMnGEwNzxzNs0,https://api.spotify.com/v1/audio-analysis/0d3xraDExoMnGEwNzxzNs0,85493,4
0.353,0.47,8,-13.729,1,0.0425,0.292,0.0,0.413,0.557,75.791,audio_features,2vf093vSCgA2bzBMn3IybJ,spotify:track:2vf093vSCgA2bzBMn3IybJ,https://api.spotify.com/v1/tracks/2vf093vSCgA2bzBMn3IybJ,https://api.spotify.com/v1/audio-analysis/2vf093vSCgA2bzBMn3IybJ,502053,4
0.704,0.244,7,-16.732,1,0.655,0.962,0.0,0.781,0.308,129.367,audio_features,3x4BbfFw8qQYgVy6EWtSYK,spotify:track:3x4BbfFw8qQYgVy6EWtSYK,https://api.spotify.com/v1/tracks/3x4BbfFw8qQYgVy6EWtSYK,https://api.spotify.com/v1/audio-analysis/3x4BbfFw8qQYgVy6EWtSYK,171787,3
0.404,0.822,3,-5.197,1,0.0447,0.359,0.0,0.34,0.773,96.936,audio_features,6x8sB98N3qdO1N8uVaYmtW,spotify:track:6x8sB98N3qdO1N8uVaYmtW,https://api.spotify.com/v1/tracks/6x8sB98N3qdO1N8uVaYmtW,https://api.spotify.com/v1/audio-analysis/6x8sB98N3qdO1N8uVaYmtW,496953,4
0.61,0.0455,8,-22.797,1,0.287,0.695,0.0,0.095,0.237,114.389,audio_features,7zHCMJp3N7amEISZ5OcEhY,spotify:track:7zHCMJp3N7amEISZ5OcEhY,https://api.spotify.com/v1/tracks/7zHCMJp3N7amEISZ5OcEhY,https://api.spotify.com/v1/audio-analysis/7zHCMJp3N7amEISZ5OcEhY,133160,3
0.527,0.35,6,-15.339,0,0.0423,0.716,0.0,0.0709,0.685,116.78,audio_features,5ozrde9hfAamlaIFJT1T8r,spotify:track:5ozrde9hfAamlaIFJT1T8r,https://api.spotify.com/v1/tracks/5ozrde9hfAamlaIFJT1T8r,https://api.spotify.com/v1/audio-analysis/5ozrde9hfAamlaIFJT1T8r,245688,3
0.686,0.105,8,-17.462,1,0.39,0.931,0.0,0.0979,0.448,132.033,audio_features,1rl7sFAPo4t0JAkhKoYV7A,spotify:track:1rl7sFAPo4t0JAkhKoYV7A,https://api.spotify.com/v1/tracks/1rl7sFAPo4t0JAkhKoYV7A,https://api.spotify.com/v1/audio-analysis/1rl7sFAPo4t0JAkhKoYV7A,88093,4
0.627,0.89,1,-3.749,1,0.0476,0.077,0.0,0.0902,0.911,110.075,audio_features,64PJeDWliOl6bwWaxIQn6F,spotify:track:64PJeDWliOl6bwWaxIQn6F,https://api.spotify.com/v1/tracks/64PJeDWliOl6bwWaxIQn6F,https://api.spotify.com/v1/audio-analysis/64PJeDWliOl6bwWaxIQn6F,460668,4
0.681,0.26,7,-18.629,1,0.526,0.886,0.0,0.742,0.505,100.886,audio_features,1ghcwz4Txxg2T2MQ8WHebX,spotify:track:1ghcwz4Txxg2T2MQ8WHebX,https://api.spotify.com/v1/tracks/1ghcwz4Txxg2T2MQ8WHebX,https://api.spotify.com/v1/audio-analysis/1ghcwz4Txxg2T2MQ8WHebX,408493,3
0.344,0.563,8,-12.202,1,0.0351,0.587,2.2e-06,0.181,0.793,142.374,audio_features,3zNRofZkrBFkMKR623dYPD,spotify:track:3zNRofZkrBFkMKR623dYPD,https://api.spotify.com/v1/tracks/3zNRofZkrBFkMKR623dYPD,https://api.spotify.com/v1/audio-analysis/3zNRofZkrBFkMKR623dYPD,620611,3
